fecha,temporada,semana,parcela_nombre,cultivo,variedad,n_remito,n_ciu,destino,comprador,cuadrilla,acarreo,cantidad_envases,peso_unitario_kg,bruto_kg,tara_kg,kg_total,observaciones
2025-02-04,2024,6,6,vid,RED GLOBE,71602015,0,MI,PUTRUELE,CAMARGO,,101.0,15.0,,,1515.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-04,2024,6,6,vid,RED GLOBE,71682015,0,EXPO,PUTRUELE,CAMARGO,,510.0,8.2,,,4182.0,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-04,2024,6,FLAME,vid,FLAME,71682008,0,PASAS,PASERO,DIAZ M,DIAZ M,20.0,391,13080.0,5260.0,7820.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-04,2024,6,FLAME,vid,FLAME,71682009,0,PASAS,PASERO,DIAZ M,,20.0,378,13400.0,5840.0,7560.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-04,2024,6,SULTANINA,vid,SULTANINA,71682011,0,PASAS,PASERO,MAXI D,,186.0,16.66666667,5940.0,2840.0,3100.0,Migración Excel · ORIGEN=TERCEROS · FINCA=MAXI D · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-04,2024,6,FLAME,vid,FLAME,71682014,0,PASAS,PASERO,DIAZ M,,20.0,377,12800.0,5260.0,7540.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-04,2024,6,FLAME,vid,FLAME,71682016,0,PASAS,PASERO,DIAZ M,,20.0,378.0,13980.0,5840.0,8140.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-04,2024,6,SULTANINA,vid,SULTANINA,71682017,0,PASAS,PASERO,MAXI D,,186.0,16.66666667,5940.0,2840.0,3100.0,Migración Excel · ORIGEN=TERCEROS · FINCA=MAXI D · ACTIVIDAD=CULTIVO · PARRAL_ORIG=SULTANINA
2025-02-05,2024,6,FLAME,vid,FLAME,71682018,0,PASAS,PASERO,LUIS F,ZARATE D,21.0,324.0,,,6804,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-05,2024,6,11,vid,FLAME,71682019,0,PASAS,PASERO,FINCA,,1652.0,16.0,,,26432,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=11
2025-02-05,2024,6,FLAME,vid,FLAME,71682021,0,PASAS,PASERO,LUIS F,ZARATE D,20.0,324.0,,,6480,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=CAUCETE · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
2025-02-05,2024,6,6,vid,RED GLOBE,71682023,0,MI,PUTRUELE,CAMARGO,,720.0,9.0,,,6480,Migración Excel · ORIGEN=LOS LIRIOS · FINCA=MEDIAGUA · ACTIVIDAD=CULTIVO · PARRAL_ORIG=6
2025-02-05,2024,6,FLAME,vid,FLAME,71682020,0,PASAS,PASERO,DIAZ M,,20.0,392.0,13680.0,5840.0,7840.0,Migración Excel · ORIGEN=TERCEROS · FINCA=VICENTE P · ACTIVIDAD=CULTIVO · PARRAL_ORIG=FLAME
