fecha,tipo,clasificacion,monto,moneda,origen,finca,forma_pago,descripcion
2026-04-15,impuestos_servicios,energia_electrica,2600000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · ENERGIA ELECTRICA
2025-05-15,impuestos_servicios,hidraulica,2225813.04,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · HIDR-RENTAS
2025-07-15,impuestos_servicios,hidraulica,7166005.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · HIDR-RENTAS
2026-02-15,impuestos_servicios,hidraulica,780261.52,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · HIDR-RENTAS
2026-03-15,impuestos_servicios,hidraulica,40000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · HIDR-RENTAS
2026-04-15,impuestos_servicios,hidraulica,40000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · HIDR-RENTAS
2025-05-15,insumos_varios,rep_repuestos_vehiculos,1000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-06-15,insumos_varios,rep_repuestos_vehiculos,1000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-07-15,insumos_varios,rep_repuestos_vehiculos,1000000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-08-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-09-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-10-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-11-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
2025-12-15,insumos_varios,rep_repuestos_vehiculos,1200000.0,ars,no_oficial,media_agua,efectivo,Migración Excel · agregado mensual SEGUIM 25-26 · REP-REPU MOVIL
